# ----------------------------------------
# visit.odessa.ua
# Бесплатный поисковый трафик
# 20120822-20120921
# ----------------------------------------

Ключевое слово	Целевая страница	Посещения	Страниц/посещение	Ср. продолж .посещ.	"Новые посещения, %"	Показатель отказов
карта достопримечательностей одессы	/category/sight/page/7/	24	"1,00"	00:00:00	"0,00 %"	"100,00 %"
одесса потемкинская лестница адрес	/sight/potemkinskaya-lestnica/	24	"2,92"	00:01:45	"87,50 %"	"79,17 %"
памятник екатерине в одессе	/sight/ekaterina2/	24	"2,88"	00:06:05	"62,50 %"	"75,00 %"
поселок котовского карта	/tag/paskot/?map=1	24	"2,96"	00:00:39	"79,17 %"	"79,17 %"
расписание поездов харьков-одесса	/travel_to_odessa/from-kharkov/by_train/	24	"1,62"	00:00:29	"75,00 %"	"91,67 %"
автобус киев одесса расписание	/travel_to_odessa/from-kiev/by_bus/	23	"1,35"	00:00:57	"73,91 %"	"82,61 %"
автобус харьков одесса	/travel_to_odessa/from-kharkov/by_bus/	23	"1,96"	00:01:04	"73,91 %"	"60,87 %"
как позвонить в одессу	/odessa/kak-pozvonit/	23	"1,04"	00:00:11	"86,96 %"	"95,65 %"
одесса достопримечательности	/sight/ytesov/	23	"1,00"	00:00:00	"0,00 %"	"100,00 %"
одесса достопримечательности	/sight/zoo/	23	"1,00"	00:00:00	"4,35 %"	"100,00 %"
гостиница в одессе недорого	/tag/nedorogie-gostinicy/	22	"3,18"	00:01:51	"95,45 %"	"18,18 %"
одесса карта	/?map=1	22	"3,09"	00:02:27	"77,27 %"	"40,91 %"
пляжи одессы	/category/entertainment/beach/	22	"3,73"	00:02:31	"86,36 %"	"18,18 %"
потемкинская лестница адрес	/sight/potemkinskaya-lestnica/	22	"1,23"	00:00:10	"81,82 %"	"81,82 %"
расписание поездов харьков-киев цена	/travel_to_odessa/from-kiev/by_train/	22	"1,05"	00:01:15	"9,09 %"	"95,45 %"
таирова одесса	/tag/tairova/?map=1	22	"2,36"	00:00:53	"81,82 %"	"86,36 %"
что посмотреть в одессе за 1 день	/category/sight/	22	"10,41"	00:08:28	"95,45 %"	"18,18 %"
я вижу везде твои ясные зори одесса	/category/ob-odesse/pesni/	22	"1,00"	00:00:00	"0,00 %"	"100,00 %"
автобус одесса очаков	/travel_to_odessa/by_bus/	21	"1,00"	00:00:00	"0,00 %"	"100,00 %"
дерибасовская карта	/tag/deribasovskaya/?map=1	21	"1,29"	00:00:35	"90,48 %"	"85,71 %"
отели в аркадии одесса	/tag/gostinicy-v-arkadii/	21	"3,24"	00:03:48	"66,67 %"	"28,57 %"
ресторан свеча	/entertainment/svecha/	21	"1,05"	00:00:02	"61,90 %"	"95,24 %"
трасса здоровья одесса	/tag/trassa-zdorovya/	21	"2,00"	00:00:56	"71,43 %"	"61,90 %"
дом-стена	/sight/witch_house/	20	"1,35"	00:00:09	"80,00 %"	"80,00 %"
донецк одесса автобус	/travel_to_odessa/from-doneck/by_bus/	20	"2,30"	00:02:27	"65,00 %"	"85,00 %"
достопримечательности одессы фото	/category/sight/?show=photos	20	"5,15"	00:05:02	"80,00 %"	"40,00 %"
киев одесса расписание автобусов	/travel_to_odessa/from-kiev/by_bus/	20	"1,30"	00:00:14	"75,00 %"	"90,00 %"
киев-одесса расписание автобусов	/travel_to_odessa/from-kiev/by_bus/	20	"1,35"	00:02:56	"60,00 %"	"80,00 %"
шкаф одесса	/entertainment/shkaf/	20	"1,20"	00:00:05	"70,00 %"	"90,00 %"
автобус одесса симферополь	/travel_to_odessa/by_bus/	19	"1,11"	00:02:01	"73,68 %"	"84,21 %"
карта одесса онлайн	/?map=1	19	"1,26"	00:01:32	"89,47 %"	"84,21 %"
карта одессы с номерами домов	/?map=1	19	"1,53"	00:01:04	"94,74 %"	"68,42 %"
недорогие гостиницы в одессе	/tag/nedorogie-gostinicy/	19	"3,16"	00:03:21	"89,47 %"	"36,84 %"
недорогие гостиницы одессы	/tag/nedorogie-gostinicy/	19	"3,05"	00:02:14	"68,42 %"	"21,05 %"
отели в одессе недорого	/tag/nedorogie-gostinicy/	19	"3,47"	00:04:15	"89,47 %"	"5,26 %"
санаторій аркадія одеса	/rent/s_-arkadiya/	19	"1,68"	00:02:01	"94,74 %"	"84,21 %"
автобус киев-одесса расписание	/travel_to_odessa/from-kiev/by_bus/	18	"1,33"	00:00:55	"83,33 %"	"72,22 %"
автобусы киев-одесса	/travel_to_odessa/from-kiev/by_bus/	18	"1,72"	00:02:51	"88,89 %"	"66,67 %"
гей клуб одесса	/tag/gej-klub/	18	"2,72"	00:01:22	"94,44 %"	"22,22 %"
гимн одессы слушать	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	18	"2,06"	00:00:51	"77,78 %"	"72,22 %"
достопримечательности одессы	/category/sight/page/5/	18	"10,44"	00:13:59	"11,11 %"	"50,00 %"
как позвонить в одессу из россии	/odessa/kak-pozvonit/	18	"1,06"	00:00:00	"100,00 %"	"100,00 %"
карта достопримечательностей одессы	/category/sight/?map=1	18	"5,39"	00:07:31	"38,89 %"	"50,00 %"
клуб тема одесса	/entertainment/tema/	18	"1,44"	00:00:35	"66,67 %"	"72,22 %"
одесса черемушки	/tag/cheremushki/?map=1	18	"1,28"	00:01:49	"88,89 %"	"72,22 %"
отели одессы недорого	/tag/nedorogie-gostinicy/	18	"4,17"	00:05:41	"77,78 %"	"11,11 %"
памятник апельсину в одессе	/sight/pineapple/	18	"1,94"	00:02:26	"77,78 %"	"66,67 %"
поезд донецк-одесса расписание	/travel_to_odessa/from-doneck/by_train/	18	"1,39"	00:02:19	"66,67 %"	"66,67 %"
